用户编号：12
当前时间：2011-09-16T16:25:45:650
任务号:2,任务：任务2
小组号:2,小组:第2组
视频名称:憨豆先生1
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T16:25:57:127
ComprehensionDown:2011-09-16T16:29:47:490
第0题的答案是：1,你选择的答案是：1
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：0,你选择的答案是：0
你的正确比例是4/4
MOVE: (800,276) 2011-09-16T16:26:07:190
MOVE: (798,275) 2011-09-16T16:26:07:230
MOVE: (796,274) 2011-09-16T16:26:07:239
MOVE: (794,271) 2011-09-16T16:26:07:247
MOVE: (791,267) 2011-09-16T16:26:07:255
MOVE: (787,263) 2011-09-16T16:26:07:263
MOVE: (781,258) 2011-09-16T16:26:07:271
MOVE: (774,251) 2011-09-16T16:26:07:279
MOVE: (767,245) 2011-09-16T16:26:07:287
MOVE: (758,238) 2011-09-16T16:26:07:295
MOVE: (748,230) 2011-09-16T16:26:07:303
MOVE: (739,222) 2011-09-16T16:26:07:311
MOVE: (729,214) 2011-09-16T16:26:07:319
MOVE: (720,207) 2011-09-16T16:26:07:327
MOVE: (711,199) 2011-09-16T16:26:07:334
MOVE: (702,192) 2011-09-16T16:26:07:343
MOVE: (696,187) 2011-09-16T16:26:07:351
MOVE: (689,183) 2011-09-16T16:26:07:359
MOVE: (685,180) 2011-09-16T16:26:07:367
MOVE: (681,176) 2011-09-16T16:26:07:375
MOVE: (679,175) 2011-09-16T16:26:07:383
MOVE: (676,174) 2011-09-16T16:26:07:390
MOVE: (674,172) 2011-09-16T16:26:07:399
MOVE: (673,172) 2011-09-16T16:26:07:406
MOVE: (671,171) 2011-09-16T16:26:07:415
MOVE: (668,170) 2011-09-16T16:26:07:423
MOVE: (666,169) 2011-09-16T16:26:07:431
MOVE: (663,167) 2011-09-16T16:26:07:438
MOVE: (659,164) 2011-09-16T16:26:07:447
MOVE: (654,163) 2011-09-16T16:26:07:455
MOVE: (651,161) 2011-09-16T16:26:07:463
MOVE: (648,159) 2011-09-16T16:26:07:471
MOVE: (645,158) 2011-09-16T16:26:07:479
MOVE: (643,156) 2011-09-16T16:26:07:486
MOVE: (642,155) 2011-09-16T16:26:07:495
MOVE: (642,154) 2011-09-16T16:26:07:543
MOVE: (642,153) 2011-09-16T16:26:07:551
MOVE: (643,153) 2011-09-16T16:26:07:559
MOVE: (645,152) 2011-09-16T16:26:07:567
MOVE: (648,151) 2011-09-16T16:26:07:575
MOVE: (651,149) 2011-09-16T16:26:07:583
MOVE: (658,147) 2011-09-16T16:26:07:591
MOVE: (667,144) 2011-09-16T16:26:07:599
MOVE: (678,140) 2011-09-16T16:26:07:608
MOVE: (689,136) 2011-09-16T16:26:07:615
MOVE: (701,134) 2011-09-16T16:26:07:623
MOVE: (713,133) 2011-09-16T16:26:07:631
MOVE: (724,130) 2011-09-16T16:26:07:641
MOVE: (734,129) 2011-09-16T16:26:07:647
MOVE: (743,128) 2011-09-16T16:26:07:655
MOVE: (752,128) 2011-09-16T16:26:07:663
MOVE: (757,128) 2011-09-16T16:26:07:671
MOVE: (763,128) 2011-09-16T16:26:07:679
MOVE: (767,127) 2011-09-16T16:26:07:686
MOVE: (771,127) 2011-09-16T16:26:07:695
MOVE: (774,127) 2011-09-16T16:26:07:703
MOVE: (779,126) 2011-09-16T16:26:07:711
MOVE: (783,125) 2011-09-16T16:26:07:720
MOVE: (790,123) 2011-09-16T16:26:07:727
MOVE: (795,122) 2011-09-16T16:26:07:735
MOVE: (801,120) 2011-09-16T16:26:07:743
MOVE: (804,120) 2011-09-16T16:26:07:751
MOVE: (807,119) 2011-09-16T16:26:07:759
MOVE: (809,119) 2011-09-16T16:26:07:767
