用户编号：08
当前时间：2011-09-16T17:12:16:974
任务号:1,任务：任务1
小组号:2,小组:第2组
视频名称:大雄兔
问题类型:Comprehension
*************************Tile***********************
ComprehensionStart:2011-09-16T17:12:22:140
ComprehensionDown:2011-09-16T17:13:26:543
第0题的答案是：0,你选择的答案是：0
第1题的答案是：1,你选择的答案是：1
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (169,321) 2011-09-16T17:12:38:733
MOVE: (170,318) 2011-09-16T17:12:38:739
MOVE: (172,316) 2011-09-16T17:12:38:747
MOVE: (172,314) 2011-09-16T17:12:38:755
MOVE: (173,312) 2011-09-16T17:12:38:764
MOVE: (175,308) 2011-09-16T17:12:38:771
MOVE: (176,305) 2011-09-16T17:12:38:779
MOVE: (178,300) 2011-09-16T17:12:38:787
MOVE: (179,297) 2011-09-16T17:12:38:796
MOVE: (181,294) 2011-09-16T17:12:38:803
MOVE: (182,291) 2011-09-16T17:12:38:811
MOVE: (183,287) 2011-09-16T17:12:38:819
MOVE: (184,284) 2011-09-16T17:12:38:827
MOVE: (186,282) 2011-09-16T17:12:38:835
MOVE: (186,279) 2011-09-16T17:12:38:843
MOVE: (186,277) 2011-09-16T17:12:38:851
MOVE: (187,275) 2011-09-16T17:12:38:859
MOVE: (187,273) 2011-09-16T17:12:38:867
MOVE: (188,271) 2011-09-16T17:12:38:876
MOVE: (188,269) 2011-09-16T17:12:38:883
MOVE: (189,266) 2011-09-16T17:12:38:891
MOVE: (189,264) 2011-09-16T17:12:38:900
MOVE: (189,261) 2011-09-16T17:12:38:907
MOVE: (190,259) 2011-09-16T17:12:38:915
MOVE: (191,256) 2011-09-16T17:12:38:923
MOVE: (192,253) 2011-09-16T17:12:38:931
MOVE: (193,250) 2011-09-16T17:12:38:939
MOVE: (193,248) 2011-09-16T17:12:38:947
MOVE: (194,245) 2011-09-16T17:12:38:955
MOVE: (195,243) 2011-09-16T17:12:38:963
MOVE: (196,240) 2011-09-16T17:12:38:971
MOVE: (196,238) 2011-09-16T17:12:38:979
MOVE: (197,236) 2011-09-16T17:12:38:987
MOVE: (197,234) 2011-09-16T17:12:38:995
MOVE: (198,230) 2011-09-16T17:12:39:3
MOVE: (199,227) 2011-09-16T17:12:39:13
MOVE: (200,224) 2011-09-16T17:12:39:19
MOVE: (202,218) 2011-09-16T17:12:39:28
MOVE: (204,212) 2011-09-16T17:12:39:35
MOVE: (206,207) 2011-09-16T17:12:39:44
MOVE: (208,202) 2011-09-16T17:12:39:51
MOVE: (212,195) 2011-09-16T17:12:39:60
MOVE: (214,191) 2011-09-16T17:12:39:67
MOVE: (216,186) 2011-09-16T17:12:39:75
MOVE: (218,183) 2011-09-16T17:12:39:83
MOVE: (219,179) 2011-09-16T17:12:39:91
MOVE: (222,176) 2011-09-16T17:12:39:99
MOVE: (223,174) 2011-09-16T17:12:39:108
MOVE: (223,171) 2011-09-16T17:12:39:115
MOVE: (226,168) 2011-09-16T17:12:39:123
MOVE: (227,167) 2011-09-16T17:12:39:131
MOVE: (228,165) 2011-09-16T17:12:39:139
MOVE: (230,163) 2011-09-16T17:12:39:147
MOVE: (233,161) 2011-09-16T17:12:39:155
MOVE: (236,158) 2011-09-16T17:12:39:163
MOVE: (240,156) 2011-09-16T17:12:39:171
MOVE: (245,153) 2011-09-16T17:12:39:179
MOVE: (252,150) 2011-09-16T17:12:39:187
MOVE: (257,148) 2011-09-16T17:12:39:195
MOVE: (263,146) 2011-09-16T17:12:39:203
MOVE: (266,145) 2011-09-16T17:12:39:211
MOVE: (270,144) 2011-09-16T17:12:39:219
MOVE: (273,144) 2011-09-16T17:12:39:227
MOVE: (278,144) 2011-09-16T17:12:39:235
MOVE: (283,144) 2011-09-16T17:12:39:243
MOVE: (289,144) 2011-09-16T17:12:39:251
MOVE: (296,144) 2011-09-16T17:12:39:259
MOVE: (300,144) 2011-09-16T17:12:39:267
MOVE: (306,144) 2011-09-16T17:12:39:275
MOVE: (310,144) 2011-09-16T17:12:39:283
MOVE: (313,144) 2011-09-16T17:12:39:291
MOVE: (315,145) 2011-09-16T17:12:39:299
MOVE: (317,145) 2011-09-16T17:12:39:307
MOVE: (318,146) 2011-09-16T17:12:39:315
MOVE: (319,146) 2011-09-16T17:12:39:325
MOVE: (321,146) 2011-09-16T17:12:39:331
MOVE: (322,146) 2011-09-16T17:12:39:340
MOVE: (323,147) 2011-09-16T17:12:39:348
MOVE: (326,147) 2011-09-16T17:12:39:356
MOVE: (328,148) 2011-09-16T17:12:39:363
MOVE: (332,149) 2011-09-16T17:12:39:372
MOVE: (335,149) 2011-09-16T17:12:39:379
MOVE: (340,150) 2011-09-16T17:12:39:387
MOVE: (343,151) 2011-09-16T17:12:39:395
MOVE: (347,151) 2011-09-16T17:12:39:403
MOVE: (349,153) 2011-09-16T17:12:39:411
MOVE: (352,153) 2011-09-16T17:12:39:419
MOVE: (352,153) 2011-09-16T17:12:39:545
DOWN..........................................Down: (352,153) 2011-09-16T17:12:39:547
MOVE: (352,153) 2011-09-16T17:12:39:599
UP````````````````````````````````````````````````````Up: (352,153) 2011-09-16T17:12:39:599
locate::::::::::::::::::::::::::::::::::::::Locate: (0,0) 00:00:00.0520030
MOVE: (352,154) 2011-09-16T17:12:39:619
MOVE: (258,211) 2011-09-16T17:12:42:3
MOVE: (242,221) 2011-09-16T17:12:42:14
MOVE: (228,231) 2011-09-16T17:12:42:19
MOVE: (211,242) 2011-09-16T17:12:42:27
MOVE: (192,254) 2011-09-16T17:12:42:35
MOVE: (174,267) 2011-09-16T17:12:42:43
MOVE: (159,279) 2011-09-16T17:12:42:51
MOVE: (140,293) 2011-09-16T17:12:42:59
MOVE: (123,304) 2011-09-16T17:12:42:67
MOVE: (100,322) 2011-09-16T17:12:42:75
MOVE: (72,339) 2011-09-16T17:12:42:83
MOVE: (42,359) 2011-09-16T17:12:42:91
MOVE: (9,379) 2011-09-16T17:12:42:99
MOVE: (1,535) 2011-09-16T17:12:43:131
MOVE: (7,533) 2011-09-16T17:12:43:151
MOVE: (9,531) 2011-09-16T17:12:43:155
MOVE: (11,530) 2011-09-16T17:12:43:163
MOVE: (12,529) 2011-09-16T17:12:43:171
MOVE: (14,528) 2011-09-16T17:12:43:179
MOVE: (15,526) 2011-09-16T17:12:43:195
MOVE: (17,526) 2011-09-16T17:12:43:203
MOVE: (18,525) 2011-09-16T17:12:43:211
MOVE: (19,524) 2011-09-16T17:12:43:219
MOVE: (22,521) 2011-09-16T17:12:43:241
MOVE: (22,520) 2011-09-16T17:12:43:242
MOVE: (24,519) 2011-09-16T17:12:43:251
MOVE: (25,518) 2011-09-16T17:12:43:258
MOVE: (28,516) 2011-09-16T17:12:43:267
MOVE: (30,514) 2011-09-16T17:12:43:275
MOVE: (31,513) 2011-09-16T17:12:43:283
MOVE: (34,510) 2011-09-16T17:12:43:291
MOVE: (36,508) 2011-09-16T17:12:43:298
MOVE: (40,505) 2011-09-16T17:12:43:307
MOVE: (46,500) 2011-09-16T17:12:43:315
MOVE: (51,496) 2011-09-16T17:12:43:323
MOVE: (57,493) 2011-09-16T17:12:43:331
MOVE: (63,489) 2011-09-16T17:12:43:339
MOVE: (69,485) 2011-09-16T17:12:43:347
MOVE: (77,479) 2011-09-16T17:12:43:355
MOVE: (84,475) 2011-09-16T17:12:43:363
MOVE: (93,471) 2011-09-16T17:12:43:371
MOVE: (99,466) 2011-09-16T17:12:43:379
MOVE: (108,460) 2011-09-16T17:12:43:387
MOVE: (115,457) 2011-09-16T17:12:43:395
MOVE: (121,453) 2011-09-16T17:12:43:403
MOVE: (129,449) 2011-09-16T17:12:43:411
MOVE: (135,444) 2011-09-16T17:12:43:419
MOVE: (141,440) 2011-09-16T17:12:43:427
MOVE: (147,437) 2011-09-16T17:12:43:435
MOVE: (153,433) 2011-09-16T17:12:43:443
MOVE: (159,430) 2011-09-16T17:12:43:451
MOVE: (164,426) 2011-09-16T17:12:43:459
MOVE: (171,422) 2011-09-16T17:12:43:467
MOVE: (177,419) 2011-09-16T17:12:43:475
MOVE: (183,415) 2011-09-16T17:12:43:483
MOVE: (188,412) 2011-09-16T17:12:43:491
MOVE: (195,408) 2011-09-16T17:12:43:499
MOVE: (202,405) 2011-09-16T17:12:43:508
MOVE: (210,401) 2011-09-16T17:12:43:515
MOVE: (217,397) 2011-09-16T17:12:43:523
MOVE: (223,394) 2011-09-16T17:12:43:531
MOVE: (230,391) 2011-09-16T17:12:43:540
MOVE: (238,388) 2011-09-16T17:12:43:547
MOVE: (244,385) 2011-09-16T17:12:43:555
MOVE: (250,382) 2011-09-16T17:12:43:563
MOVE: (254,380) 2011-09-16T17:12:43:571
MOVE: (259,377) 2011-09-16T17:12:43:579
MOVE: (264,375) 2011-09-16T17:12:43:587
MOVE: (269,373) 2011-09-16T17:12:43:595
MOVE: (272,371) 2011-09-16T17:12:43:603
MOVE: (277,369) 2011-09-16T17:12:43:611
MOVE: (279,368) 2011-09-16T17:12:43:619
MOVE: (281,367) 2011-09-16T17:12:43:627
MOVE: (283,365) 2011-09-16T17:12:43:635
MOVE: (284,365) 2011-09-16T17:12:43:643
MOVE: (285,365) 2011-09-16T17:12:43:651
MOVE: (285,364) 2011-09-16T17:12:43:659
MOVE: (287,363) 2011-09-16T17:12:43:667
MOVE: (286,364) 2011-09-16T17:12:45:227
MOVE: (284,366) 2011-09-16T17:12:45:235
MOVE: (278,370) 2011-09-16T17:12:45:243
MOVE: (270,376) 2011-09-16T17:12:45:251
MOVE: (263,382) 2011-09-16T17:12:45:259
MOVE: (255,389) 2011-09-16T17:12:45:268
MOVE: (245,397) 2011-09-16T17:12:45:275
MOVE: (232,402) 2011-09-16T17:12:45:284
MOVE: (219,409) 2011-09-16T17:12:45:291
MOVE: (210,413) 2011-09-16T17:12:45:299
MOVE: (210,415) 2011-09-16T17:12:45:499
MOVE: (210,416) 2011-09-16T17:12:45:507
MOVE: (212,416) 2011-09-16T17:12:45:515
MOVE: (216,416) 2011-09-16T17:12:45:523
MOVE: (220,414) 2011-09-16T17:12:45:531
MOVE: (224,412) 2011-09-16T17:12:45:539
MOVE: (226,411) 2011-09-16T17:12:45:547
MOVE: (228,410) 2011-09-16T17:12:45:555
MOVE: (230,409) 2011-09-16T17:12:45:564
