用户编号：12
当前时间：2011-09-16T16:13:44:791
任务号:5,任务：学习
小组号:3,小组:第3组
视频名称:大头儿子小头爸爸
问题类型:Comprehension
*************************Tapestry***********************
ComprehensionStart:2011-09-16T16:15:53:566
ComprehensionDown:2011-09-16T16:17:49:457
第0题的答案是：1,你选择的答案是：1
第1题的答案是：0,你选择的答案是：0
第2题的答案是：1,你选择的答案是：1
第3题的答案是：1,你选择的答案是：1
你的正确比例是4/4
MOVE: (750,653) 2011-09-16T16:14:01:101
MOVE: (758,654) 2011-09-16T16:14:01:109
MOVE: (765,655) 2011-09-16T16:14:01:117
MOVE: (772,655) 2011-09-16T16:14:01:125
MOVE: (781,656) 2011-09-16T16:14:01:133
MOVE: (788,656) 2011-09-16T16:14:01:141
MOVE: (794,656) 2011-09-16T16:14:01:149
MOVE: (801,656) 2011-09-16T16:14:01:157
MOVE: (808,656) 2011-09-16T16:14:01:165
MOVE: (815,657) 2011-09-16T16:14:01:174
MOVE: (822,657) 2011-09-16T16:14:01:181
MOVE: (829,657) 2011-09-16T16:14:01:189
MOVE: (835,657) 2011-09-16T16:14:01:197
MOVE: (840,657) 2011-09-16T16:14:01:205
MOVE: (844,657) 2011-09-16T16:14:01:213
MOVE: (849,658) 2011-09-16T16:14:01:221
MOVE: (854,658) 2011-09-16T16:14:01:229
MOVE: (857,658) 2011-09-16T16:14:01:237
MOVE: (862,659) 2011-09-16T16:14:01:245
MOVE: (866,660) 2011-09-16T16:14:01:253
MOVE: (870,660) 2011-09-16T16:14:01:261
MOVE: (875,661) 2011-09-16T16:14:01:270
MOVE: (878,661) 2011-09-16T16:14:01:277
MOVE: (881,661) 2011-09-16T16:14:01:285
MOVE: (883,661) 2011-09-16T16:14:01:293
MOVE: (884,661) 2011-09-16T16:14:01:300
MOVE: (884,662) 2011-09-16T16:14:02:13
MOVE: (883,662) 2011-09-16T16:14:02:21
MOVE: (882,663) 2011-09-16T16:14:02:29
MOVE: (880,663) 2011-09-16T16:14:02:37
MOVE: (879,663) 2011-09-16T16:14:02:45
MOVE: (877,664) 2011-09-16T16:14:02:53
MOVE: (876,664) 2011-09-16T16:14:02:61
MOVE: (874,665) 2011-09-16T16:14:02:69
MOVE: (873,665) 2011-09-16T16:14:02:77
MOVE: (872,665) 2011-09-16T16:14:02:85
MOVE: (872,665) 2011-09-16T16:14:02:642
DOWN: (872,665) 2011-09-16T16:14:02:645
MOVE: (870,666) 2011-09-16T16:14:02:821
MOVE: (867,668) 2011-09-16T16:14:02:829
MOVE: (864,669) 2011-09-16T16:14:02:837
MOVE: (859,671) 2011-09-16T16:14:02:845
MOVE: (855,672) 2011-09-16T16:14:02:853
MOVE: (849,674) 2011-09-16T16:14:02:861
MOVE: (843,675) 2011-09-16T16:14:02:869
MOVE: (836,676) 2011-09-16T16:14:02:877
MOVE: (830,677) 2011-09-16T16:14:02:885
MOVE: (823,678) 2011-09-16T16:14:02:894
MOVE: (817,679) 2011-09-16T16:14:02:901
MOVE: (812,679) 2011-09-16T16:14:02:909
MOVE: (807,680) 2011-09-16T16:14:02:917
MOVE: (803,680) 2011-09-16T16:14:02:924
MOVE: (799,681) 2011-09-16T16:14:02:933
MOVE: (795,681) 2011-09-16T16:14:02:940
MOVE: (792,681) 2011-09-16T16:14:02:948
MOVE: (788,681) 2011-09-16T16:14:02:956
MOVE: (786,681) 2011-09-16T16:14:02:964
MOVE: (784,681) 2011-09-16T16:14:02:972
MOVE: (781,681) 2011-09-16T16:14:02:980
MOVE: (779,682) 2011-09-16T16:14:02:988
MOVE: (776,682) 2011-09-16T16:14:02:996
MOVE: (773,683) 2011-09-16T16:14:03:5
MOVE: (771,683) 2011-09-16T16:14:03:13
MOVE: (768,683) 2011-09-16T16:14:03:20
MOVE: (766,684) 2011-09-16T16:14:03:29
MOVE: (763,684) 2011-09-16T16:14:03:36
MOVE: (760,685) 2011-09-16T16:14:03:45
MOVE: (758,685) 2011-09-16T16:14:03:53
MOVE: (756,685) 2011-09-16T16:14:03:61
MOVE: (753,685) 2011-09-16T16:14:03:69
MOVE: (751,685) 2011-09-16T16:14:03:77
MOVE: (748,685) 2011-09-16T16:14:03:85
MOVE: (745,685) 2011-09-16T16:14:03:93
MOVE: (741,686) 2011-09-16T16:14:03:101
MOVE: (738,686) 2011-09-16T16:14:03:109
